New PAW TMT results file!
Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_PAMI_GMCSF_A_TMT_20161027	Total_PAMI_GMCSF_B_TMT_20161028	Total_PAMI_GMCSF_C_TMT_20161031	Total_PAMI_GMCSF_D_TMT_20161101	Unique_PAMI_GMCSF_A_TMT_20161027	Unique_PAMI_GMCSF_B_TMT_20161028	Unique_PAMI_GMCSF_C_TMT_20161031	Unique_PAMI_GMCSF_D_TMT_20161101	Corrected_PAMI_GMCSF_A_TMT_20161027	Corrected_PAMI_GMCSF_B_TMT_20161028	Corrected_PAMI_GMCSF_C_TMT_20161031	Corrected_PAMI_GMCSF_D_TMT_20161101	PSMs_Used_PAMI_GMCSF_A_TMT_20161027	TotInt_126C_PAMI_GMCSF_A_TMT_20161027	TotInt_127N_PAMI_GMCSF_A_TMT_20161027	TotInt_127C_PAMI_GMCSF_A_TMT_20161027	TotInt_128N_PAMI_GMCSF_A_TMT_20161027	TotInt_128C_PAMI_GMCSF_A_TMT_20161027	TotInt_129N_PAMI_GMCSF_A_TMT_20161027	TotInt_129C_PAMI_GMCSF_A_TMT_20161027	TotInt_130N_PAMI_GMCSF_A_TMT_20161027	TotInt_130C_PAMI_GMCSF_A_TMT_20161027	TotInt_131N_PAMI_GMCSF_A_TMT_20161027	PSMs_Used_PAMI_GMCSF_B_TMT_20161028	TotInt_126C_PAMI_GMCSF_B_TMT_20161028	TotInt_127N_PAMI_GMCSF_B_TMT_20161028	TotInt_127C_PAMI_GMCSF_B_TMT_20161028	TotInt_128N_PAMI_GMCSF_B_TMT_20161028	TotInt_128C_PAMI_GMCSF_B_TMT_20161028	TotInt_129N_PAMI_GMCSF_B_TMT_20161028	TotInt_129C_PAMI_GMCSF_B_TMT_20161028	TotInt_130N_PAMI_GMCSF_B_TMT_20161028	TotInt_130C_PAMI_GMCSF_B_TMT_20161028	TotInt_131N_PAMI_GMCSF_B_TMT_20161028	PSMs_Used_PAMI_GMCSF_C_TMT_20161031	TotInt_126C_PAMI_GMCSF_C_TMT_20161031	TotInt_127N_PAMI_GMCSF_C_TMT_20161031	TotInt_127C_PAMI_GMCSF_C_TMT_20161031	TotInt_128N_PAMI_GMCSF_C_TMT_20161031	TotInt_128C_PAMI_GMCSF_C_TMT_20161031	TotInt_129N_PAMI_GMCSF_C_TMT_20161031	TotInt_129C_PAMI_GMCSF_C_TMT_20161031	TotInt_130N_PAMI_GMCSF_C_TMT_20161031	TotInt_130C_PAMI_GMCSF_C_TMT_20161031	TotInt_131N_PAMI_GMCSF_C_TMT_20161031	PSMs_Used_PAMI_GMCSF_D_TMT_20161101	TotInt_126C_PAMI_GMCSF_D_TMT_20161101	TotInt_127N_PAMI_GMCSF_D_TMT_20161101	TotInt_127C_PAMI_GMCSF_D_TMT_20161101	TotInt_128N_PAMI_GMCSF_D_TMT_20161101	TotInt_128C_PAMI_GMCSF_D_TMT_20161101	TotInt_129N_PAMI_GMCSF_D_TMT_20161101	TotInt_129C_PAMI_GMCSF_D_TMT_20161101	TotInt_130N_PAMI_GMCSF_D_TMT_20161101	TotInt_130C_PAMI_GMCSF_D_TMT_20161101	TotInt_131N_PAMI_GMCSF_D_TMT_20161101
805	1	sp|P25444|RS2_MOUSE	 	 	 	 	41.0	293	31231	40S ribosomal protein S2 OS=Mus musculus GN=Rps2 PE=1 SV=3	76	76	1.000	14	19	22	21	14	19	22	21	14.000	19.000	22.000	21.000	14	2035346.82153	2411691.04077	2656230.57764	1784331.97156	1947268.61267	1898743.46899	1821220.07263	2085559.67187	1757280.63171	1435960.22608	19	2804862.18677	2169177.58484	2132366.33924	2315903.63989	1734707.81854	1962767.89777	1239939.44165	2394928.70651	1641786.39362	2457374.06006	22	1531531.88287	1292760.14429	1520098.88159	1234786.88037	1791447.51209	1307785.78012	1217090.74011	930502.876403	1267841.98126	1297600.06159	21	1726046.87158	1405545.81921	1406027.66224	1534151.40112	1533691.45459	1661229.34338	1343196.60461	2236528.16162	1420992.67432	1539407.1051
806	1	sp|P25688|URIC_MOUSE	 	 	 	 	27.1	303	35039	Uricase OS=Mus musculus GN=Uox PE=1 SV=2	28	28	1.000	5	5	10	8	5	5	10	8	5.000	5.000	10.000	8.000	5	17833.624756	21237.90747	73554.272705	42964.19873	45657.327637	40088.00537	17397.387696	44408.569702	30471.853516	6055.242248	5	11837.392212	14216.826539	54476.905518	10228.858642	40110.738769	123288.867187	12750.909424	32150.365479	37062.214845	67291.166503	10	509576.990723	540724.06079	64057.650329	1528247.01172	223306.226806	1382385.7998	847563.345702	1125883.44727	440868.122558	46040.765076	8	217084.928711	141816.586426	111694.162597	106686.964845	173585.905273	47932.602233	137306.749022	99786.8667	245572.711914	165543.13379
807	1	sp|P25785|TIMP2_MOUSE	 	 	 	 	20.9	220	24328	Metalloproteinase inhibitor 2 OS=Mus musculus GN=Timp2 PE=1 SV=2	4	4	1.000	2	0	0	2	2	0	0	2	2.000	0.000	0.000	2.000	2	54245.453124	31283.644043	40794.095704	49994.237304	39307.435547	45901.641113	49414.711425	45339.3125	39572.235351	56163.601562	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	47706.479126	35631.177917	40538.801147	33113.897095	37803.324218	44557.214844	36567.381714	35753.076141	47734.140136	39409.795899
808	1	sp|P25799|NFKB1_MOUSE	 	 	 	 	13.3	971	105614	Nuclear factor NF-kappa-B p105 subunit OS=Mus musculus GN=Nfkb1 PE=1 SV=2	26	26	1.000	3	5	10	8	3	5	10	8	3.000	5.000	10.000	8.000	3	110211.961427	110465.073243	119248.243652	111950.423828	104972.543457	97468.734375	103302.460937	91571.508789	92908.76123	134928.057129	5	114062.751465	83511.957031	96093.360352	120369.596192	87637.193359	76354.718261	81920.28247	87973.097412	91219.15332	95319.304688	10	173142.939758	152790.65332	160462.630126	143292.95221	188526.509157	150998.421021	151535.493896	152795.894777	154657.424927	175862.221801	8	124143.888182	100314.653321	116525.394776	109565.479004	102227.792359	132145.160156	90952.401428	133534.154175	100593.673095	125289.659669
809	1	sp|P25911|LYN_MOUSE	 	 	sp|P05480|SRC_MOUSE, sp|P08103|HCK_MOUSE, sp|P25911|LYN_MOUSE, sp|P30285|CDK4_MOUSE, sp|P39688|FYN_MOUSE, sp|P49615|CDK5_MOUSE, sp|P97377|CDK2_MOUSE, sp|Q04735|CDK16_MOUSE, sp|Q04736|YES_MOUSE, sp|Q64261|CDK6_MOUSE, sp|Q8K0D0|CDK17_MOUSE, sp|Q99J95|CDK9_MOUSE	 	35.9	512	58812	Tyrosine-protein kinase Lyn OS=Mus musculus GN=Lyn PE=1 SV=4	49	36	0.735	14	10	15	10	10	7	11	8	11.585	8.085	12.585	8.803	10	347962.435242	138844.190674	273004.69336	316359.144653	335408.277101	247232.492187	202612.103028	242577.261108	169189.594116	246749.861573	7	127712.531493	83269.139039	142766.623535	121709.592527	114767.291992	87546.340089	113010.369262	152542.296875	172480.656005	128235.743653	11	434546.626709	294088.151978	328786.600769	418524.919435	521984.557372	291457.197143	370093.09595	383834.381104	379821.743164	685444.83838	8	229577.76538	133274.141235	109289.608155	130499.436401	150608.542725	258028.375975	125602.992677	197106.372558	92140.322753	157066.136473
810	1	sp|P25962|ADRB3_MOUSE	 	 	 	 	6.8	400	43006	Beta-3 adrenergic receptor OS=Mus musculus GN=Adrb3 PE=2 SV=2	5	5	1.000	1	0	2	2	1	0	2	2	1.000	0.000	2.000	2.000	1	6267.758789	2980.025146	5373.618652	6632.817871	8084.738281	7523.011719	8170.143555	5476.998047	3986.684082	4306.352539	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	53046.826172	59959.839844	33412.440429	61641.206055	24194.921387	41100.386719	54352.563476	54201.582031	43335.30957	45963.068359	2	22674.230469	16190.917968	20187.322266	10754.410156	19832.412597	21658.951172	16001.303711	13535.041016	18225.903809	21662.182617
811	1	sp|P26039|TLN1_MOUSE	 	 	sp|P26039|TLN1_MOUSE, sp|Q71LX4|TLN2_MOUSE	 	60.1	2541	269818	Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2	778	712	0.915	191	187	201	199	175	177	178	182	185.769	184.052	193.219	193.011	175	7921890.944	5871683.77405	8152542.48541	6450890.0113	7218354.78339	6941862.78198	8247525.38416	6778716.69434	7722856.48639	4869695.79846	177	7312582.82612	6478520.95883	6716211.62	6823804.65463	5407964.06671	6579835.99536	4452794.31635	5946947.89997	6744241.86883	7035795.78861	178	9559323.28619	7458291.38251	8086805.5509	7436674.73388	10373023.8524	7035229.18128	8400251.35718	6279213.98193	8436097.4983	11536829.6835	182	8106141.9235	5726139.04477	5858283.89643	5916715.17532	6164584.27112	8975607.35764	5520305.66837	8357859.30716	6189074.26623	5781548.13434
812	1	sp|P26040|EZRI_MOUSE	 	 	sp|P26040|EZRI_MOUSE, sp|P26041|MOES_MOUSE, sp|P26043|RADI_MOUSE	 	45.4	586	69406	Ezrin OS=Mus musculus GN=Ezr PE=1 SV=3	224	75	0.335	61	56	59	48	20	17	18	20	28.565	24.207	26.160	26.429	20	945972.59314	1041511.37402	1574506.58984	1344631.11743	1123058.28741	1308631.82221	1379212.80115	1305278.96973	873870.413452	1167719.15247	17	1045777.57324	913507.580932	735583.232421	807969.646361	562260.752929	515020.136598	249209.846436	1793732.38135	386901.86499	564799.950805	18	1377100.28015	815098.20099	2480739.94824	602414.773864	874729.447756	741643.051881	1099126.38892	896104.235413	1136977.96484	1062010.82855	20	877828.378295	998751.104188	856590.547974	1088339.14099	1395215.89307	997359.824219	966158.505036	847004.285155	1030964.48157	1279919.52966
813	1	sp|P26041|MOES_MOUSE	 	 	sp|P26040|EZRI_MOUSE, sp|P26041|MOES_MOUSE, sp|P26043|RADI_MOUSE	 	57.0	577	67766	Moesin OS=Mus musculus GN=Msn PE=1 SV=3	389	245	0.630	103	91	101	94	63	52	63	67	87.050	74.043	86.146	84.701	63	13785694.5883	9168893.047	12093138.548	8948079.53766	9468549.17817	8952746.34131	8582602.25604	9647891.37012	7454399.19586	12865231.9499	52	8335732.24561	6092388.15119	8625031.62781	6402173.61291	6948725.65018	6363938.88184	3227977.22602	6566765.76904	9908811.51877	8915454.91174	63	11121703.6595	9180631.92322	8408400.06909	10159826.2716	10119219.1517	9596441.64105	9749063.94507	10929227.2628	9490646.9671	13688554.7571	67	13550138.532	8084321.00635	7617692.28162	7563587.64502	8584039.11047	13836863.5057	7809925.54297	10543624.4465	7464689.45227	11362325.1361
814	1	sp|P26043|RADI_MOUSE	 	 	sp|P26040|EZRI_MOUSE, sp|P26041|MOES_MOUSE, sp|P26043|RADI_MOUSE	 	50.4	583	68542	Radixin OS=Mus musculus GN=Rdx PE=1 SV=3	240	86	0.358	66	62	65	47	23	23	23	17	33.385	32.750	33.694	22.870	23	2166188.86401	1483350.05456	2172455.11768	1880339.6554	1869940.64825	1665314.96973	1665446.62756	1608258.48639	1324397.66693	1816806.22681	23	2471138.99768	2113321.73803	2523690.90607	1887587.42237	1988367.39148	2518065.64014	887327.37146	2432454.97034	2787085.18164	2629167.53467	23	2488828.80005	1651415.85168	2051208.57312	2331041.02124	1880099.1593	2315565.17017	2821572.72949	3169101.49145	2970413.83435	3503029.43567	17	1393023.37207	907874.677981	852424.63855	790506.80664	1105726.99463	1291931.02808	903613.579102	1037183.29834	981913.852905	1175311.85779
815	1	sp|P26231|CTNA1_MOUSE	 	 	sp|P26231|CTNA1_MOUSE, sp|Q61301|CTNA2_MOUSE	 	32.0	906	100105	Catenin alpha-1 OS=Mus musculus GN=Ctnna1 PE=1 SV=1	56	47	0.839	12	14	14	16	11	11	12	13	11.917	14.000	14.000	16.000	11	139396.894837	167516.918578	187043.805176	177609.358766	180474.654052	195603.710145	211248.713378	193399.540404	241205.996826	135348.977539	11	572129.516846	465931.75	467261.674072	594616.391601	376328.208557	439432.517822	471370.22168	664926.102783	381194.442628	335116.874877	12	139583.952882	132564.551025	135240.954834	89106.195557	84846.446166	99561.118408	115182.512939	86004.392944	116976.113036	102682.373779	13	101300.915284	92732.902343	113728.269532	94249.749511	112969.761475	90190.445557	93689.541016	96237.594971	104828.491578	95495.626467
816	1	sp|P26262|KLKB1_MOUSE	 	 	 	 	27.9	638	71382	Plasma kallikrein OS=Mus musculus GN=Klkb1 PE=1 SV=2	73	73	1.000	18	22	17	16	18	22	17	16	18.000	22.000	17.000	16.000	18	528407.110899	656272.519531	541746.810911	505172.993042	532746.321654	558496.289795	568138.994874	592225.353761	580246.952513	755220.699949	22	970751.072387	1046616.03809	958508.044676	1343949.57788	785649.618408	931319.899413	542953.548278	581262.134156	829188.122438	1072540.91406	17	589883.639648	564050.433594	403278.303955	368824.818115	394601.37256	554047.74707	523162.277587	497338.787842	523369.493164	451067.266113	16	656608.063965	609015.076294	766345.172853	489357.621706	604409.963622	605645.368652	601283.146729	554797.244141	713647.020997	816066.964355
817	1	sp|P26350|PTMA_MOUSE	 	 	 	 	23.4	111	12254	Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=2	22	22	1.000	6	4	6	6	6	4	6	6	6.000	4.000	6.000	6.000	6	1344593.14062	770808.919922	1127119.13477	1381876.04297	1035626.42969	979653.244141	1282664.73047	957946.101563	1258514.62109	976766.576172	4	1299920.40625	739285.890626	942727.1875	1335574.0	742254.669922	745850.476563	664163.40625	832052.109375	724739.048829	790633.902344	6	999829.102539	663612.946289	853124.890625	758369.982666	770178.240235	952112.107421	818934.791992	734881.209961	946715.472168	761815.384278	6	951224.864808	732284.384033	818850.497071	716501.767944	763089.389587	778340.711914	724030.524414	843790.215211	774242.600586	928497.439942
818	1	sp|P26369|U2AF2_MOUSE	 	 	 	 	22.5	475	53516	Splicing factor U2AF 65 kDa subunit OS=Mus musculus GN=U2af2 PE=1 SV=3	29	29	1.000	8	8	6	7	8	8	6	7	8.000	8.000	6.000	7.000	8	67137.026001	97575.797973	101537.81958	104478.312256	74352.010986	81781.083496	85573.850586	75886.666992	91180.862549	87698.481934	8	106648.721924	89098.405396	100439.812989	130369.912108	73071.457703	74930.157409	40696.21576	112826.3656	66952.279296	76198.014465	6	149702.786622	105943.043946	172053.525391	114235.333984	160430.484863	120247.332032	105840.17334	123545.693847	136049.236817	133859.095703	7	67805.760253	68837.045287	76220.770935	73482.151367	78195.190857	84437.079102	59410.112061	94802.188232	69281.515106	79587.228516
819	1	sp|P26443|DHE3_MOUSE	 	 	 	 	44.3	558	61336	Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1	232	232	1.000	59	57	57	59	59	57	57	59	59.000	57.000	57.000	59.000	59	8457987.28613	5759069.36487	6224254.43005	6521103.75852	6919584.31592	6102539.62702	6652949.25732	6317657.59619	5461931.60919	4457386.2851	57	5094764.15967	5421323.58649	5582886.02665	3859674.71826	4777276.83472	6869641.53686	4678636.71161	4679133.0752	6297956.16058	4030492.16114	57	6343685.41413	4166637.48571	4542553.5467	8537125.93494	4194559.32874	7771442.49353	5691957.22909	5300318.39282	5553299.71961	7020718.06824	59	7104608.20362	4053842.43811	3524492.89624	3530195.22839	4187049.59473	6151550.6709	4077697.30591	4166752.62354	5671639.91626	4447217.64752
820	1	sp|P26450|P85A_MOUSE	 	 	sp|O08908|P85B_MOUSE, sp|P26450|P85A_MOUSE	 	18.0	724	83516	Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Mus musculus GN=Pik3r1 PE=1 SV=2	20	17	0.850	5	2	5	8	4	2	4	7	5.000	2.000	5.000	7.875	4	139138.22113	132393.659058	130390.027832	103255.102539	114498.198242	119684.463013	130973.02237	123205.46991	136410.588867	107084.80371	2	57593.801514	34398.29541	47617.805908	52710.987793	38977.339355	46438.783936	27547.207032	36426.26416	35924.957641	51041.273682	4	175449.154541	176425.990479	141046.916992	137708.904175	130407.02124	161783.066772	185431.054688	109276.056703	150173.201661	123942.875855	7	225602.451265	154901.558624	198442.903076	150827.919311	174438.670716	223646.462281	155650.814943	196686.679322	148442.645875	183446.834656
821	1	sp|P26516|PSMD7_MOUSE	 	 	 	 	25.9	321	36539	26S proteasome non-ATPase regulatory subunit 7 OS=Mus musculus GN=Psmd7 PE=1 SV=2	19	19	1.000	5	5	4	5	5	5	4	5	5.000	5.000	4.000	5.000	5	380704.320313	285779.916993	375903.476562	276283.31836	313906.021484	306428.736328	291259.388671	272015.332031	320187.65625	251626.896483	5	139005.274902	72446.518554	138382.967285	117522.540528	112196.478272	124600.032227	122879.815675	160439.339356	106400.04883	142973.03711	4	226953.052736	183827.433593	219612.27246	199555.264649	193688.65625	168534.371093	166776.763672	189661.731447	197093.543946	246329.454102	5	192233.295899	197576.399169	122433.18982	181020.808472	440733.278564	198333.582643	215359.686158	151310.292724	128382.474854	187208.593141
822	1	sp|P26618|PGFRA_MOUSE	 	 	sp|P05532|KIT_MOUSE, sp|P05622|PGFRB_MOUSE, sp|P26618|PGFRA_MOUSE, sp|P35969|VGFR1_MOUSE, sp|P63085|MK01_MOUSE, sp|Q63844|MK03_MOUSE, sp|Q80Y86|MK15_MOUSE	 	3.9	1089	122682	Platelet-derived growth factor receptor alpha OS=Mus musculus GN=Pdgfra PE=1 SV=3	7	2	0.286	3	2	1	1	1	1	0	0	1.074	1.034	0.000	0.000	1	12007.631836	14844.550781	15391.78418	16159.588867	12971.868164	13707.639648	12714.045898	14279.836914	12635.146484	9793.269531	1	892.576416	818.440979	50.0	50.0	950.051697	793.901123	50.0	853.854797	792.395386	858.769714	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
823	1	sp|P26638|SYSC_MOUSE	 	 	 	 	46.9	512	58388	Serine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Sars PE=1 SV=3	95	95	1.000	25	19	27	24	25	19	27	24	25.000	19.000	27.000	24.000	25	1220484.51459	706158.896729	1278554.68091	856602.164186	832049.444703	830553.665527	709185.148679	796722.558107	754376.229248	652154.823824	19	847500.818115	572938.103883	717574.776124	646426.283965	589326.259155	598245.127503	428622.905944	760689.160645	667849.958314	789483.943972	27	1184317.68604	913097.699249	1166166.87945	1051558.72528	1202159.58984	976788.619626	1003967.31409	941353.199646	1026160.44428	1155140.0907	24	756680.412232	554508.194946	538981.258545	600571.332396	614037.176269	725433.688965	514787.284853	785066.92749	503197.088379	642112.023802
824	1	sp|P26645|MARCS_MOUSE	 	 	 	 	67.6	309	29661	Myristoylated alanine-rich C-kinase substrate OS=Mus musculus GN=Marcks PE=1 SV=2	59	59	1.000	22	11	13	13	22	11	13	13	22.000	11.000	13.000	13.000	22	863229.206421	1040603.42908	895731.174806	719728.05884	716130.138429	836389.985961	1094743.51208	827217.850952	1149145.94861	888548.864136	11	119459.908814	184277.790037	159765.581055	194802.902833	129808.250978	121174.842774	88968.231445	159330.884033	152989.502442	114656.818603	13	354253.545655	359606.213867	289395.843506	240017.004274	339474.201417	313576.399171	246506.857911	210529.771851	297693.945069	231839.129028	13	289641.425415	231781.821778	303257.345703	219569.681334	224539.0354	267367.883665	217914.354004	297358.906007	285827.285157	238010.506317
825	1	sp|P26883|FKB1A_MOUSE	 	 	 	 	13.0	108	11922	Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus GN=Fkbp1a PE=1 SV=2	23	23	1.000	8	4	5	6	8	4	5	6	8.000	4.000	5.000	6.000	8	529102.079713	292232.159668	423641.154541	372748.377501	351860.987488	325276.362305	311017.326538	350099.845093	237837.93982	345434.603515	4	328794.894531	265067.873046	337085.652344	234615.935547	273458.650391	274061.019531	323474.835937	260230.195313	352538.378906	383987.691408	5	418739.421417	301534.026245	302745.556214	401808.930298	337297.626832	329000.262207	356810.172363	317866.596923	334789.078064	426583.159423	6	354434.729003	209097.776245	185940.406982	219597.580933	247704.565919	345914.758789	217578.626953	288457.668701	211296.152589	262837.178588
826	1	sp|P27046|MA2A1_MOUSE	 	 	 	 	6.3	1150	131630	Alpha-mannosidase 2 OS=Mus musculus GN=Man2a1 PE=1 SV=2	10	10	1.000	2	3	2	3	2	3	2	3	2.000	3.000	2.000	3.000	2	27166.860839	39858.287597	21887.477539	32655.649414	28642.762207	36265.597168	46010.251953	37182.912109	47860.887696	22473.943115	3	12080.956543	16392.461425	13511.269043	25011.496093	10619.034668	12400.524414	11051.769531	10083.470704	9543.98877	7167.321777	2	8179.089112	7079.278076	5223.405762	5375.536865	6298.832031	5989.796875	5636.685059	2842.592408	6800.666016	6096.541504	3	6590.362915	6787.774476	9505.766113	6468.230469	5569.770508	6676.304688	6466.384278	10715.337403	6082.886719	6728.929779
827	1	sp|P27048|RSMB_MOUSE (+1)	sp|P27048|RSMB_MOUSE&sp|P63163|RSMN_MOUSE	 	 	 	16.0	231	23656	Small nuclear ribonucleoprotein-associated protein B OS=Mus musculus GN=Snrpb PE=1 SV=1	8	8	1.000	2	1	3	2	2	1	3	2	2.000	1.000	3.000	2.000	2	62601.248047	106728.535156	86330.605469	106257.029297	75258.461914	113384.632813	138819.704102	141955.503907	166743.720703	108699.733398	1	14841.850586	16761.873047	16929.541016	26828.162109	13522.036133	10831.12207	6573.330078	18144.558594	4826.091309	10200.546875	3	303409.736329	232434.460938	308103.748047	236270.839843	326830.347656	354236.509766	283971.916016	407578.451172	455115.048828	408039.887695	2	50742.829102	53868.611328	84798.064454	59413.888672	68370.982422	49704.136718	57083.472656	80645.425781	70925.486328	68792.838867
828	1	sp|P27546|MAP4_MOUSE	 	 	 	 	57.7	1125	117428	Microtubule-associated protein 4 OS=Mus musculus GN=Map4 PE=1 SV=3	287	287	1.000	70	67	72	78	70	67	72	78	70.000	67.000	72.000	78.000	70	5208372.62555	2344931.04859	5004109.79395	3655016.60334	3496834.29016	3090661.89356	2811309.13079	3243659.4115	1985988.83215	4322842.81967	67	2404644.98353	2003517.78131	3080986.55847	1732698.22974	2549976.66925	2144427.87891	1937738.51709	2104276.65064	3469810.03686	3007194.48572	72	3909700.34046	2562199.62	3398511.82099	3833080.22583	4048546.2865	3059794.50845	3320662.92731	3651654.85364	3363634.77542	4065141.45615	78	3960645.24268	2406635.18466	1829705.73071	2758303.74695	2593324.56451	3549124.85443	2432491.92767	3776139.29712	2339811.57788	3199189.9198
829	1	sp|P27601|GNA13_MOUSE	 	 	sp|B2RSH2|GNAI1_MOUSE, sp|P08752|GNAI2_MOUSE, sp|P18872|GNAO_MOUSE, sp|P27601|GNA13_MOUSE, sp|P63094|GNAS2_MOUSE, sp|Q9DC51|GNAI3_MOUSE	 	28.1	377	44054	Guanine nucleotide-binding protein subunit alpha-13 OS=Mus musculus GN=Gna13 PE=1 SV=1	38	25	0.658	8	13	9	8	5	8	6	6	5.294	8.727	6.340	6.211	5	224808.642579	111510.916993	200006.003907	241342.00293	293560.865235	219956.000001	239252.283204	223659.035156	227845.551758	144184.499024	8	116303.266357	104862.229003	103378.263671	112765.179444	80691.813233	95350.660521	77827.703857	112030.979981	69286.421143	85400.822754	6	187092.899413	167940.931641	178011.542969	181975.121582	173801.282715	144217.466552	155732.193847	152449.155151	172852.514893	162720.554565	6	178160.242187	135498.156983	132942.297363	141090.245606	150520.862793	174398.492187	123610.130616	185142.054932	126365.772949	138049.458252
830	1	sp|P27612|PLAP_MOUSE	 	 	 	 	31.7	794	87220	Phospholipase A-2-activating protein OS=Mus musculus GN=Plaa PE=1 SV=4	79	79	1.000	21	18	20	20	21	18	20	20	21.000	18.000	20.000	20.000	21	499190.260011	348632.244383	490886.752076	436061.992372	413495.869263	401668.918825	374890.506349	373035.533692	348533.10083	365188.040346	18	399700.285889	288730.612001	368589.596312	341911.696167	311609.605349	307616.75775	301367.115357	385792.804689	334376.597045	367727.817627	20	622508.305599	432941.09064	556931.089785	545890.869749	565188.218264	497352.914001	524291.986421	701117.489502	542941.773743	536169.547912	20	482963.811523	360835.031983	343730.532593	381553.933716	422178.637146	515340.831665	347703.760132	448739.850098	337093.91229	465176.893859
831	1	sp|P27641|XRCC5_MOUSE	 	 	 	 	9.0	732	83056	X-ray repair cross-complementing protein 5 OS=Mus musculus GN=Xrcc5 PE=1 SV=4	7	7	1.000	0	3	1	3	0	3	1	3	0.000	3.000	1.000	3.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2465.850342	1968.038452	2375.887207	4171.781738	2244.936768	1878.786499	1776.97876	2652.886963	2036.059326	2118.236328	1	4479.073242	4326.842285	4962.885742	1725.75293	2753.455811	3256.527588	3331.655762	1845.963623	2818.469238	2349.497803	3	2350.489258	2242.991455	3028.553711	3765.379395	4281.086426	2658.999512	1849.631104	4352.119141	1555.655884	3583.796143
832	1	sp|P27659|RL3_MOUSE	 	 	 	 	43.2	403	46109	60S ribosomal protein L3 OS=Mus musculus GN=Rpl3 PE=1 SV=3	87	87	1.000	21	24	22	20	21	24	22	20	21.000	24.000	22.000	20.000	21	2069711.96625	2466461.60047	2333763.78595	2178742.13306	1899211.29373	2158395.66776	1898004.96875	2224463.8092	1661118.89087	2547928.5658	24	3058747.34277	2561973.0271	2599612.53174	2653021.65381	2154312.35351	2567360.3999	1983855.67004	2367961.82934	2526767.94141	2545591.68408	22	3128528.8822	2624199.14905	2832271.42639	2986309.63214	3213030.35877	2848952.04291	2184731.82446	2673316.95819	2794061.48999	3086305.828	20	1851574.40063	1285607.61292	1418935.11768	1382459.46027	1327063.25171	1864515.74219	1244275.6084	1932153.09509	1425894.2207	1662920.62573
834	1	sp|P27773|PDIA3_MOUSE	 	 	 	 	68.5	505	56678	Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2	274	274	1.000	73	66	63	72	73	66	63	72	73.000	66.000	63.000	72.000	73	10524932.9612	9808401.4375	10500925.863	13186371.6301	10543803.8243	10850899.0654	9396370.04395	11246401.8336	9024080.60333	11209810.0551	66	12357417.4174	9977033.00769	11048590.8584	9162849.63318	9004411.30835	8366163.8584	9738972.52686	19430098.4019	9309035.5672	9858495.93949	63	9703008.17163	6606887.31402	12800333.0895	7447401.86731	8369572.77479	7178869.26941	7494843.71228	6483595.55689	8365648.48157	7471341.45435	72	8060399.68677	7058769.9378	6199701.72836	7594639.7859	8953386.87427	7582204.71991	6739146.95093	8139544.9552	6410478.64161	7951051.146
835	1	sp|P27808|MGAT1_MOUSE	 	 	 	 	5.4	447	51690	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Mus musculus GN=Mgat1 PE=1 SV=1	5	5	1.000	2	1	1	1	2	1	1	1	2.000	1.000	1.000	1.000	2	8166.076416	9313.063232	5260.686401	7162.63208	8413.74292	9118.263184	12173.112793	8568.375488	10758.966309	5762.33606	1	418.662384	1418.667969	792.398987	1058.95752	1000.726807	1446.835938	1113.109131	1006.016846	921.006165	868.803528	1	3804.22583	3425.649414	1381.14978	3468.224609	3517.125	3180.080811	2196.870605	1660.498169	1345.137939	1933.022217	1	5111.505371	4986.198242	7261.868652	5201.020508	3766.020752	4930.47168	4162.486328	7778.343262	5476.283691	3232.179199
